sequence,grid_row,grid_column,x_m,y_m,z_m,terrain_z_m,altitude_asl_m
317,23,0,-735.0,45.0,39.3973388671875,19.3973388671875,639.8533935546875
318,24,0,-735.0,15.0,39.37591552734375,19.37591552734375,639.8319702148438
319,24,1,-705.0,15.0,39.7862548828125,19.7862548828125,640.2423095703125
320,24,2,-675.0,15.0,40.58026123046875,20.58026123046875,641.0363159179688
321,24,3,-645.0,15.0,41.3658447265625,21.3658447265625,641.8218994140625
322,24,4,-615.0,15.0,42.10040283203125,22.10040283203125,642.5564575195312
323,24,5,-585.0,15.0,42.65728759765625,22.65728759765625,643.1133422851562
324,24,6,-555.0,15.0,43.218505859375,23.218505859375,643.674560546875
325,24,7,-525.0,15.0,43.85986328125,23.85986328125,644.31591796875
326,24,8,-495.0,15.0,44.36083984375,24.36083984375,644.81689453125
327,24,9,-465.0,15.0,44.49493408203125,24.49493408203125,644.9509887695312
328,24,10,-435.0,15.0,43.96014404296875,23.96014404296875,644.4161987304688
329,24,11,-405.0,15.0,42.5325927734375,22.5325927734375,642.9886474609375
330,24,12,-375.0,15.0,40.45745849609375,20.45745849609375,640.9135131835938
331,24,13,-345.0,15.0,38.13262939453125,18.13262939453125,638.5886840820312
332,24,14,-315.0,15.0,36.130126953125,16.130126953125,636.586181640625
333,24,15,-285.0,15.0,34.90869140625,14.90869140625,635.36474609375
334,24,16,-255.0,15.0,34.884765625,14.884765625,635.3408203125
335,24,17,-225.0,15.0,35.89373779296875,15.89373779296875,636.3497924804688
336,24,18,-195.0,15.0,37.6414794921875,17.6414794921875,638.0975341796875
337,24,19,-165.0,15.0,39.0224609375,19.0224609375,639.478515625
338,24,20,-135.0,15.0,40.09588623046875,20.09588623046875,640.5519409179688
339,24,21,-105.0,15.0,40.9893798828125,20.9893798828125,641.4454345703125
340,24,22,-75.0,15.0,41.71368408203125,21.71368408203125,642.1697387695312
341,24,23,-45.0,15.0,42.263916015625,22.263916015625,642.719970703125
342,24,24,-15.0,15.0,42.2313232421875,22.2313232421875,642.6873779296875
343,24,25,15.0,15.0,42.12274169921875,22.12274169921875,642.5787963867188
344,24,26,45.0,15.0,42.12835693359375,22.12835693359375,642.5844116210938
345,24,27,75.0,15.0,42.463134765625,22.463134765625,642.919189453125
346,24,28,105.0,15.0,43.44805908203125,23.44805908203125,643.9041137695312
347,24,29,135.0,15.0,44.7447509765625,24.7447509765625,645.2008056640625
348,24,30,165.0,15.0,46.30487060546875,26.30487060546875,646.7609252929688
349,24,31,195.0,15.0,47.92333984375,27.92333984375,648.37939453125
350,24,32,225.0,15.0,49.48016357421875,29.48016357421875,649.9362182617188
351,24,33,255.0,15.0,50.831298828125,30.831298828125,651.287353515625
352,24,34,285.0,15.0,51.95672607421875,31.95672607421875,652.4127807617188
353,24,35,315.0,15.0,53.20697021484375,33.20697021484375,653.6630249023438
354,24,36,345.0,15.0,54.7667236328125,34.7667236328125,655.2227783203125
355,24,37,375.0,15.0,56.58349609375,36.58349609375,657.03955078125
356,24,38,405.0,15.0,58.72955322265625,38.72955322265625,659.1856079101562
357,24,39,435.0,15.0,61.02734375,41.02734375,661.4833984375
358,24,40,465.0,15.0,63.30279541015625,43.30279541015625,663.7588500976562
359,24,41,495.0,15.0,65.24029541015625,45.24029541015625,665.6963500976562
360,24,42,525.0,15.0,66.9815673828125,46.9815673828125,667.4376220703125
361,24,43,555.0,15.0,68.3951416015625,48.3951416015625,668.8511962890625
362,24,44,585.0,15.0,69.04913330078125,49.04913330078125,669.5051879882812
363,24,45,615.0,15.0,69.190185546875,49.190185546875,669.646240234375
364,24,46,645.0,15.0,69.1707763671875,49.1707763671875,669.6268310546875
365,24,47,675.0,15.0,69.2979736328125,49.2979736328125,669.7540283203125
